2020-01-01, 59000, 8, '', 2
2020-01-02, 80000, 8, '', 2
2020-01-03, 69000, 3, '', 1
2020-01-04, 11000, 9, '', 2
2020-01-05, 56000, 1, '', 2
2020-01-06, 92000, 9, '', 2
2020-01-07, 45000, 4, '', 2
2020-01-08, 99000, 5, '', 2
2020-01-09, 24000, 3, '', 2
2020-01-10, 54000, 2, '', 1
2020-01-11, 53000, 6, '', 1
2020-01-12, 41000, 4, '', 1
2020-01-13, 49000, 6, '', 2
2020-01-14, 53000, 6, '', 1
2020-01-15, 72000, 5, '', 2
2020-01-16, 20000, 6, '', 1
2020-01-17, 79000, 2, '', 1
2020-01-18, 86000, 2, '', 2
2020-01-19, 24000, 1, '', 2
2020-01-20, 43000, 4, '', 1
2020-01-21, 17000, 6, '', 1
2020-01-22, 46000, 1, '', 1
2020-01-23, 81000, 3, '', 1
2020-01-24, 77000, 5, '', 1
2020-01-25, 32000, 3, '', 2
2020-01-26, 46000, 5, '', 1
2020-01-27, 45000, 10, '', 2
2020-01-28, 37000, 3, '', 1
2020-01-29, 61000, 10, '', 1
2020-01-30, 67000, 4, '', 1
2020-01-31, 25000, 5, '', 2
2020-02-01, 62000, 8, '', 1
2020-02-02, 15000, 5, '', 2
2020-02-03, 59000, 1, '', 1
2020-02-04, 34000, 7, '', 1
2020-02-05, 31000, 1, '', 2
2020-02-06, 62000, 4, '', 2
2020-02-07, 50000, 3, '', 2
2020-02-08, 49000, 3, '', 2
2020-02-09, 73000, 7, '', 1
2020-02-10, 35000, 10, '', 2
2020-02-11, 37000, 4, '', 1
2020-02-12, 87000, 9, '', 2
2020-02-13, 88000, 6, '', 1
2020-02-14, 95000, 2, '', 1
2020-02-15, 17000, 8, '', 1
2020-02-16, 43000, 7, '', 2
2020-02-17, 47000, 8, '', 1
2020-02-18, 28000, 2, '', 1
2020-02-19, 13000, 2, '', 1
2020-02-20, 24000, 10, '', 1
2020-02-21, 79000, 8, '', 1
2020-02-22, 51000, 2, '', 2
2020-02-23, 23000, 8, '', 1
2020-02-24, 37000, 3, '', 1
2020-02-25, 68000, 10, '', 1
2020-02-26, 22000, 10, '', 2
2020-02-27, 99000, 4, '', 1
2020-02-28, 65000, 4, '', 2
2020-02-29, 74000, 6, '', 2
2020-03-01, 34000, 3, '', 1
2020-03-02, 43000, 9, '', 1
2020-03-03, 27000, 2, '', 1
2020-03-04, 95000, 4, '', 2
2020-03-05, 21000, 1, '', 1
2020-03-06, 41000, 2, '', 2
2020-03-07, 16000, 9, '', 1
2020-03-08, 65000, 1, '', 2
2020-03-09, 54000, 8, '', 1
2020-03-10, 95000, 5, '', 2
2020-03-11, 44000, 10, '', 1
2020-03-12, 84000, 1, '', 2
2020-03-13, 64000, 4, '', 1
2020-03-14, 30000, 10, '', 2
2020-03-15, 45000, 8, '', 2
2020-03-16, 75000, 10, '', 1
2020-03-17, 38000, 10, '', 1
2020-03-18, 89000, 3, '', 2
2020-03-19, 76000, 10, '', 1
2020-03-20, 35000, 9, '', 1
2020-03-21, 77000, 7, '', 2
2020-03-22, 18000, 8, '', 2
2020-03-23, 77000, 2, '', 1
2020-03-24, 34000, 9, '', 2
2020-03-25, 57000, 5, '', 1
2020-03-26, 89000, 6, '', 1
2020-03-27, 52000, 5, '', 1
2020-03-28, 16000, 4, '', 1
2020-03-29, 13000, 2, '', 2
2020-03-30, 25000, 10, '', 1
2020-03-31, 97000, 9, '', 2
2020-04-01, 55000, 5, '', 2
2020-04-02, 95000, 5, '', 2
2020-04-03, 64000, 2, '', 2
2020-04-04, 97000, 5, '', 1
2020-04-05, 17000, 4, '', 2
2020-04-06, 67000, 8, '', 2
2020-04-07, 24000, 3, '', 2
2020-04-08, 41000, 4, '', 1
2020-04-09, 54000, 8, '', 2
2020-04-10, 16000, 7, '', 2
2020-04-11, 67000, 10, '', 1
2020-04-12, 81000, 5, '', 1
2020-04-13, 37000, 7, '', 1
2020-04-14, 16000, 2, '', 1
2020-04-15, 62000, 1, '', 1
2020-04-16, 75000, 6, '', 1
2020-04-17, 14000, 9, '', 2
2020-04-18, 63000, 6, '', 1
2020-04-19, 46000, 6, '', 1
2020-04-20, 45000, 1, '', 1
2020-04-21, 95000, 10, '', 1
2020-04-22, 45000, 6, '', 2
2020-04-23, 53000, 2, '', 1
2020-04-24, 17000, 7, '', 2
2020-04-25, 80000, 4, '', 2
2020-04-26, 11000, 1, '', 1
2020-04-27, 93000, 9, '', 1
2020-04-28, 96000, 8, '', 2
2020-04-29, 56000, 8, '', 1
2020-04-30, 21000, 5, '', 2
2020-05-01, 33000, 10, '', 1
2020-05-02, 67000, 1, '', 2
2020-05-03, 31000, 5, '', 1
2020-05-04, 24000, 10, '', 1
2020-05-05, 13000, 4, '', 2
2020-05-06, 98000, 2, '', 2
2020-05-07, 40000, 4, '', 2
2020-05-08, 43000, 2, '', 1
2020-05-09, 95000, 10, '', 1
2020-05-10, 54000, 8, '', 1
2020-05-11, 21000, 6, '', 1
2020-05-12, 88000, 6, '', 2
2020-05-13, 11000, 5, '', 2
2020-05-14, 18000, 10, '', 2
2020-05-15, 59000, 7, '', 1
2020-05-16, 20000, 5, '', 2
2020-05-17, 26000, 10, '', 1
2020-05-18, 60000, 10, '', 2
2020-05-19, 33000, 1, '', 1
2020-05-20, 74000, 2, '', 1
2020-05-21, 74000, 5, '', 1
2020-05-22, 96000, 7, '', 2
2020-05-23, 95000, 2, '', 2
2020-05-24, 11000, 2, '', 1
2020-05-25, 58000, 1, '', 2
2020-05-26, 96000, 9, '', 1
2020-05-27, 87000, 9, '', 2
2020-05-28, 37000, 2, '', 2
2020-05-29, 10000, 6, '', 1
2020-05-30, 73000, 2, '', 1
2020-05-31, 46000, 7, '', 1
2020-06-01, 80000, 6, '', 1
2020-06-02, 74000, 6, '', 1
2020-06-03, 70000, 3, '', 1
2020-06-04, 96000, 3, '', 2
2020-06-05, 23000, 8, '', 2
2020-06-06, 51000, 6, '', 2
2020-06-07, 40000, 3, '', 2
2020-06-08, 93000, 4, '', 2
2020-06-09, 11000, 2, '', 2
2020-06-10, 82000, 4, '', 1
2020-06-11, 19000, 1, '', 2
2020-06-12, 56000, 6, '', 2
2020-06-13, 71000, 1, '', 2
2020-06-14, 30000, 6, '', 1
2020-06-15, 33000, 1, '', 2
2020-06-16, 51000, 2, '', 1
2020-06-17, 16000, 2, '', 1
2020-06-18, 73000, 4, '', 1
2020-06-19, 67000, 6, '', 1
2020-06-20, 46000, 6, '', 1
2020-06-21, 87000, 7, '', 2
2020-06-22, 88000, 6, '', 2
2020-06-23, 70000, 1, '', 1
2020-06-24, 83000, 5, '', 2
2020-06-25, 64000, 7, '', 1
2020-06-26, 80000, 3, '', 1
2020-06-27, 11000, 5, '', 1
2020-06-28, 83000, 6, '', 1
2020-06-29, 37000, 1, '', 1
2020-06-30, 19000, 4, '', 1
2020-07-01, 59000, 3, '', 1
2020-07-02, 13000, 8, '', 2
2020-07-03, 95000, 8, '', 1
2020-07-04, 63000, 8, '', 1
2020-07-05, 86000, 5, '', 1
2020-07-06, 26000, 1, '', 2
2020-07-07, 36000, 10, '', 2
2020-07-08, 60000, 10, '', 2
2020-07-09, 54000, 7, '', 2
2020-07-10, 83000, 8, '', 2
2020-07-11, 77000, 10, '', 1
2020-07-12, 59000, 8, '', 1
2020-07-13, 56000, 3, '', 2
2020-07-14, 17000, 2, '', 1
2020-07-15, 42000, 1, '', 2
2020-07-16, 43000, 4, '', 2
2020-07-17, 19000, 3, '', 2
2020-07-18, 11000, 5, '', 1
2020-07-19, 91000, 4, '', 2
2020-07-20, 68000, 1, '', 1
2020-07-21, 46000, 2, '', 1
2020-07-22, 17000, 5, '', 1
2020-07-23, 56000, 7, '', 2
2020-07-24, 96000, 1, '', 1
2020-07-25, 30000, 2, '', 1
2020-07-26, 92000, 10, '', 1
